T a T y T i(Vdd)*Vdd
5.053982e-08 1.800000e+00 5.053982e-08 1.351390e-02 5.053982e-08 4.948957e-06 
5.153982e-08 1.800000e+00 5.153982e-08 1.351465e-02 5.153982e-08 -2.937985e-05 
5.253982e-08 1.800000e+00 5.253982e-08 1.351390e-02 5.253982e-08 4.940857e-06 
5.353982e-08 1.800000e+00 5.353982e-08 1.351465e-02 5.353982e-08 -2.937176e-05 
5.453982e-08 1.800000e+00 5.453982e-08 1.351390e-02 5.453982e-08 4.932763e-06 
5.553982e-08 1.800000e+00 5.553982e-08 1.351465e-02 5.553982e-08 -2.936367e-05 
5.653982e-08 1.800000e+00 5.653982e-08 1.351390e-02 5.653982e-08 4.924674e-06 
5.753982e-08 1.800000e+00 5.753982e-08 1.351465e-02 5.753982e-08 -2.935559e-05 
5.853982e-08 1.800000e+00 5.853982e-08 1.351390e-02 5.853982e-08 4.916590e-06 
5.953982e-08 1.800000e+00 5.953982e-08 1.351465e-02 5.953982e-08 -2.934751e-05 
6.053982e-08 1.800000e+00 6.053982e-08 1.351390e-02 6.053982e-08 4.908511e-06 
6.153982e-08 1.800000e+00 6.153982e-08 1.351465e-02 6.153982e-08 -2.933943e-05 
6.253982e-08 1.800000e+00 6.253982e-08 1.351390e-02 6.253982e-08 4.900437e-06 
6.353982e-08 1.800000e+00 6.353982e-08 1.351465e-02 6.353982e-08 -2.933136e-05 
6.453982e-08 1.800000e+00 6.453982e-08 1.351390e-02 6.453982e-08 4.892369e-06 
6.553982e-08 1.800000e+00 6.553982e-08 1.351465e-02 6.553982e-08 -2.932330e-05 
6.653982e-08 1.800000e+00 6.653982e-08 1.351391e-02 6.653982e-08 4.884305e-06 
6.753982e-08 1.800000e+00 6.753982e-08 1.351465e-02 6.753982e-08 -2.931524e-05 
6.853982e-08 1.800000e+00 6.853982e-08 1.351391e-02 6.853982e-08 4.876247e-06 
6.953982e-08 1.800000e+00 6.953982e-08 1.351465e-02 6.953982e-08 -2.930719e-05 
7.053982e-08 1.800000e+00 7.053982e-08 1.351391e-02 7.053982e-08 4.868193e-06 
7.153982e-08 1.800000e+00 7.153982e-08 1.351465e-02 7.153982e-08 -2.929914e-05 
7.253982e-08 1.800000e+00 7.253982e-08 1.351391e-02 7.253982e-08 4.860145e-06 
7.353982e-08 1.800000e+00 7.353982e-08 1.351465e-02 7.353982e-08 -2.929109e-05 
7.453982e-08 1.800000e+00 7.453982e-08 1.351391e-02 7.453982e-08 4.852102e-06 
7.553982e-08 1.800000e+00 7.553982e-08 1.351465e-02 7.553982e-08 -2.928306e-05 
7.653982e-08 1.800000e+00 7.653982e-08 1.351391e-02 7.653982e-08 4.844063e-06 
7.753982e-08 1.800000e+00 7.753982e-08 1.351465e-02 7.753982e-08 -2.927502e-05 
7.853982e-08 1.800000e+00 7.853982e-08 1.351391e-02 7.853982e-08 4.836030e-06 
7.953982e-08 1.800000e+00 7.953982e-08 1.351465e-02 7.953982e-08 -2.926699e-05 
8.053982e-08 1.800000e+00 8.053982e-08 1.351391e-02 8.053982e-08 4.828002e-06 
8.153982e-08 1.800000e+00 8.153982e-08 1.351466e-02 8.153982e-08 -2.925897e-05 
8.253982e-08 1.800000e+00 8.253982e-08 1.351391e-02 8.253982e-08 4.819979e-06 
8.353982e-08 1.800000e+00 8.353982e-08 1.351466e-02 8.353982e-08 -2.925095e-05 
8.453982e-08 1.800000e+00 8.453982e-08 1.351392e-02 8.453982e-08 4.811961e-06 
8.553982e-08 1.800000e+00 8.553982e-08 1.351466e-02 8.553982e-08 -2.924294e-05 
8.653982e-08 1.800000e+00 8.653982e-08 1.351392e-02 8.653982e-08 4.803949e-06 
8.753982e-08 1.800000e+00 8.753982e-08 1.351466e-02 8.753982e-08 -2.923493e-05 
8.853982e-08 1.800000e+00 8.853982e-08 1.351392e-02 8.853982e-08 4.795941e-06 
8.953982e-08 1.800000e+00 8.953982e-08 1.351466e-02 8.953982e-08 -2.922693e-05 
9.053982e-08 1.800000e+00 9.053982e-08 1.351392e-02 9.053982e-08 4.787938e-06 
9.153982e-08 1.800000e+00 9.153982e-08 1.351466e-02 9.153982e-08 -2.921893e-05 
9.253982e-08 1.800000e+00 9.253982e-08 1.351392e-02 9.253982e-08 4.779940e-06 
9.353982e-08 1.800000e+00 9.353982e-08 1.351466e-02 9.353982e-08 -2.921094e-05 
9.453982e-08 1.800000e+00 9.453982e-08 1.351392e-02 9.453982e-08 4.771948e-06 
9.553982e-08 1.800000e+00 9.553982e-08 1.351466e-02 9.553982e-08 -2.920295e-05 
9.653982e-08 1.800000e+00 9.653982e-08 1.351392e-02 9.653982e-08 4.763960e-06 
9.753982e-08 1.800000e+00 9.753982e-08 1.351466e-02 9.753982e-08 -2.919497e-05 
9.853982e-08 1.800000e+00 9.853982e-08 1.351392e-02 9.853982e-08 4.755977e-06 
9.953982e-08 1.800000e+00 9.953982e-08 1.351466e-02 9.953982e-08 -2.918699e-05 
1.005398e-07 1.800000e+00 1.005398e-07 1.351392e-02 1.005398e-07 4.748000e-06 
1.015398e-07 1.800000e+00 1.015398e-07 1.351466e-02 1.015398e-07 -2.917901e-05 
1.025398e-07 1.800000e+00 1.025398e-07 1.351392e-02 1.025398e-07 4.740027e-06 
1.035398e-07 1.800000e+00 1.035398e-07 1.351466e-02 1.035398e-07 -2.917105e-05 
1.045398e-07 1.800000e+00 1.045398e-07 1.351393e-02 1.045398e-07 4.732060e-06 
1.055398e-07 1.800000e+00 1.055398e-07 1.351466e-02 1.055398e-07 -2.916308e-05 
1.065398e-07 1.800000e+00 1.065398e-07 1.351393e-02 1.065398e-07 4.724097e-06 
1.075398e-07 1.800000e+00 1.075398e-07 1.351466e-02 1.075398e-07 -2.915513e-05 
1.085398e-07 1.800000e+00 1.085398e-07 1.351393e-02 1.085398e-07 4.716140e-06 
1.095398e-07 1.800000e+00 1.095398e-07 1.351466e-02 1.095398e-07 -2.914717e-05 
1.105398e-07 1.800000e+00 1.105398e-07 1.351393e-02 1.105398e-07 4.708188e-06 
1.115398e-07 1.800000e+00 1.115398e-07 1.351466e-02 1.115398e-07 -2.913923e-05 
1.125398e-07 1.800000e+00 1.125398e-07 1.351393e-02 1.125398e-07 4.700240e-06 
1.135398e-07 1.800000e+00 1.135398e-07 1.351466e-02 1.135398e-07 -2.913128e-05 
1.145398e-07 1.800000e+00 1.145398e-07 1.351393e-02 1.145398e-07 4.692298e-06 
1.155398e-07 1.800000e+00 1.155398e-07 1.351466e-02 1.155398e-07 -2.912334e-05 
1.165398e-07 1.800000e+00 1.165398e-07 1.351393e-02 1.165398e-07 4.684360e-06 
1.175398e-07 1.800000e+00 1.175398e-07 1.351467e-02 1.175398e-07 -2.911541e-05 
1.185398e-07 1.800000e+00 1.185398e-07 1.351393e-02 1.185398e-07 4.676428e-06 
1.195398e-07 1.800000e+00 1.195398e-07 1.351467e-02 1.195398e-07 -2.910748e-05 
1.205398e-07 1.800000e+00 1.205398e-07 1.351393e-02 1.205398e-07 4.668501e-06 
1.215398e-07 1.800000e+00 1.215398e-07 1.351467e-02 1.215398e-07 -2.909956e-05 
1.225398e-07 1.800000e+00 1.225398e-07 1.351394e-02 1.225398e-07 4.660578e-06 
1.235398e-07 1.800000e+00 1.235398e-07 1.351467e-02 1.235398e-07 -2.909164e-05 
1.245398e-07 1.800000e+00 1.245398e-07 1.351394e-02 1.245398e-07 4.652661e-06 
